State,Medicaid_Coef,Medicaid_P_Value,AR_Coef,AR_P_Value,MA_Coef,MA_P_Value,AIC
Alabama,0.010667252745075007,0.44322394876339066,-0.9149311941361568,0.1077073127569534,0.012546876089852773,0.9975771966057655,11.42773886054668
Alaska,0.02781399746426389,0.04970624903465596,-0.1104760289575642,0.9646532715259027,-0.9977190276193852,0.9976636000749739,24.207242547218705
Arizona,-0.0008171879529361054,0.5764911026249369,-0.8521354717241773,0.0470683503118221,-0.9851367802138652,0.980994041312695,13.897092255784631
Arkansas,0.008554043720593329,0.7851932383471185,0.7356275859092963,0.9585570778760477,-0.49038641571645014,0.974753266049127,21.70991306215528
California,0.00017891882464817082,0.883108408358267,-0.6769547580616557,0.891981973635418,0.3272016698611942,0.9710743943637087,15.338252499209325
Colorado,-0.005355638931287425,0.030115652296989433,0.12679631619013765,0.9509061043578403,0.9958107272401053,0.9922332608547236,13.946337524217096
Connecticut,0.007141851309487912,0.005474351029591713,-0.6603865317599963,0.43593811028211427,-0.990556052659094,0.9853440962681781,18.119587643136164
Delaware,0.06096750020520981,0.6439495003498517,-0.9466173365560812,0.04057664267396421,0.4147963514242838,0.8800420017297035,15.326325856431096
District of Columbia,-0.030575904329244757,0.19364416772630455,0.039541832326386576,0.9739384706599765,-0.9984801227233387,0.9971145587236435,19.503983324024745
Florida,0.00098786002603973,0.7059492927043043,0.0008179802035713722,0.9999992044076276,0.0008129529734243686,0.9999992097911887,13.31179674072948
Georgia,0.0037488305074872717,0.6132877612787115,-0.6054475936866666,0.8984569223779725,0.971267692994225,0.9733501759103477,14.461787355168727
Hawaii,0.0232766606019801,0.015762071542870546,-0.04579788556420983,0.9748677811616085,-0.9960864132124907,0.9964335298006216,19.593915607677584
Idaho,-0.0007390556659815387,0.9688363116557827,-0.7137628735238477,0.6325000613403492,-0.9916634676683714,0.9877249136193331,10.592527519694531
Illinois,0.00013820862363522703,0.9708212304690625,-0.23326697000770902,0.9281974273357712,-0.9910713978501267,0.9810645183104683,15.320799080334346
Indiana,-0.0005072548711406366,0.9205807694799801,-0.778503256004945,0.8348556362764847,0.21367624061120444,0.9697117217496606,14.547935488163134
Iowa,0.007201370773199605,0.4862620952742307,0.3189005879624456,0.8293366859471097,-0.9948491360995351,0.9917552797198295,16.61382383823851
Kansas,0.014414459561512868,0.2347976777884777,-0.047597489371192174,0.9816521525611381,-0.8061418781755189,0.8803864981213698,15.702402733474997
Kentucky,0.0030267281727291507,0.6487506809598895,-0.0644723511150943,0.9855647720693598,0.40842939726524413,0.9093142061455934,16.02615464961628
Louisiana,0.0059607237972498645,0.13021584655363075,-0.2181570505907381,0.8104496057053855,-0.9936378828329634,0.9899504727961408,23.10855823968414
Maine,0.015032181074106572,0.6701577523614926,-0.7869308591911734,0.8752322561196542,0.9963215098428915,0.994189588216745,23.626238457088107
Maryland,0.0006192860967501096,0.8317686629071349,0.09006614909594386,0.9372854493177275,-0.9926071486613934,0.9878664080535012,16.242446841811585
Massachusetts,-0.00548919946978055,0.024248111340590062,0.05606858927331176,0.9479036927764164,0.9955659252831633,0.9902892714012044,13.60437454376526
Michigan,0.00015556345702804274,0.9525989256257129,0.22149689100347397,0.9456035225265808,-0.5925313638838693,0.89279982991269,13.23047103437252
Minnesota,0.0014885310704484212,0.9172974328704295,-0.19438348135655883,0.8937946730110612,-0.23508976668934334,0.8505276842449256,17.181317102052823
Mississippi,-0.007283136930188803,0.5712885734552945,-0.9985550502538538,0.12741524340982693,0.9523104719994072,0.9287647462345687,19.930293215447772
Missouri,0.0029130443303522105,0.6728582756040815,0.0022854986694372413,0.9999290372517694,-0.13919075239408504,0.9954724938490033,21.412548918222853
Montana,-0.018256568206321017,0.278458072217608,0.9999131394887825,3.3069668455133977e-11,-0.9745056142076868,0.9643973710416873,18.653237617128298
Nebraska,0.04061127650936831,0.22451032319307818,0.2989971391220568,0.8564672400295668,-0.9937485893098847,0.9923907663861178,14.964874291058965
Nevada,-0.0003123021923537069,0.9876884130998653,-0.7010661374880045,0.38048525160017543,-0.9938202016659136,0.9929711116563814,18.435125944129595
New Hampshire,0.008842595792199207,0.5346573532907765,-0.3916359573575172,0.8122678540485131,0.9956611183686149,0.9925691835810571,11.153303438345452
New Jersey,0.004879909712526084,0.04226626667410684,-0.5616093644329658,0.5089450986645307,-0.9419015885545565,0.8996886550337102,13.619133498394623
New Mexico,0.0069737605558796625,0.06314234211998798,-0.3768603368816312,0.7141267816162684,-0.2656677855466803,0.8667833449253449,21.23450096260207
New York,0.0014322677379827713,0.34615595871463056,-0.121098981285498,0.9304950149206201,0.9847055842738217,0.9723180415686997,23.187967785853694
North Carolina,0.0016873280539486397,0.4309590158086988,-0.012866258072076208,0.9941769610866853,-0.9926179717102045,0.9860133552295447,19.78483885852175
North Dakota,0.11694752129546747,0.13517228146593455,-0.009378099944760278,0.9985573260370508,-0.9974517307967505,0.9969950195409979,19.970862010640012
Ohio,0.0004669676376316693,0.896171759685386,-0.9982801620678887,0.10919159076955903,0.9526406170110976,0.910345499049213,20.3678866814597
Oklahoma,0.025437896685824087,0.16441221425958708,0.9976604742007956,0.31069501150107637,-0.9397087847888929,0.9403762855198692,17.633238450995503
Oregon,0.003981897264498831,0.7742409407410696,-0.09385696126478985,0.9998988566095723,0.09505268595747146,0.9998974902073781,12.468135539433742
Pennsylvania,0.0007764151882845181,0.3271238429167409,0.02653310961239157,0.979078012030646,-0.8045527654324677,0.7002552060426764,17.22850263212605
Rhode Island,-0.004748833174218673,0.9042064738526305,-0.33142258237868466,0.8897748336695737,-0.9980101525084691,0.9977456946927777,20.846400415352186
South Carolina,-0.006670360139449225,0.14997224816146418,-0.3937431727565177,0.8402734088294641,-0.9956195589984562,0.9972460907929389,18.25487690736624
South Dakota,-0.019501537709010388,0.9114906496044874,-0.15188344210508534,0.9666962948064765,0.9971513883479335,0.9960844308541924,13.772991057908559
Tennessee,-0.0009978547316214395,0.794480426138918,0.7765111385362955,0.29669798434896444,0.9892623551096879,0.9946895827176396,15.35866596985451
Texas,0.0004969686492723541,0.8765889158036144,-0.43721776337978796,0.7690631694493227,-0.4757087309307485,0.7472135521283199,8.647628408846913
Utah,0.012391325977349535,0.1807251307111426,0.0005177065350382408,0.999491523879046,0.9856741288865014,0.9853567448442757,5.570081737177414
Vermont,0.05695414750063907,0.3540273094241546,-0.3304260060966213,0.8931559776234523,0.9969710171701366,0.9954713749507685,22.875272209534174
Virginia,6.99433105063497e-05,0.9837118760541994,-0.02088477829038538,0.9917439019440931,-0.8073572752711609,0.7287334728185104,15.106898666876909
Washington,-0.0021802755884393565,0.24826254259428038,-0.501394286456086,0.7733872707100058,0.9916438079105095,0.9837530295800844,14.056092446236239
West Virginia,0.019806903858024857,0.2560515121159469,0.5707205992023415,0.48848049043508457,0.9907845001235136,0.9882130702347072,22.17696433576061
Wisconsin,0.00742214030907304,0.3682111926972813,-0.20902326938909122,0.7456821911896115,-0.9970719126647335,0.9957423087868691,14.550905437446811
Wyoming,0.10152543000301875,0.6814784506061824,0.9997843934115401,0.2299809374450965,-0.9812526800191722,0.9781877677389167,20.491761110732515
